Fecha;VLP
"1/1/2018";10,686478057
"2/1/2018";10,686761197
"3/1/2018";10,690515942
"4/1/2018";10,691398899
"5/1/2018";10,692003615
"6/1/2018";10,692353482
"7/1/2018";10,692703348
"8/1/2018";10,695793484
"9/1/2018";10,694384264
"10/1/2018";10,693867837
"11/1/2018";10,686939817
"12/1/2018";10,68465439
"13/1/2018";10,684996534
"14/1/2018";10,685338747
"15/1/2018";10,685713364
"16/1/2018";10,686206124
"17/1/2018";10,686641854
"18/1/2018";10,687117422
"19/1/2018";10,688447701
"20/1/2018";10,688776925
"21/1/2018";10,689106156
"22/1/2018";10,691007653
"23/1/2018";10,691484637
"24/1/2018";10,690886231
"25/1/2018";10,685156541
"26/1/2018";10,677628438
"27/1/2018";10,677966465
"28/1/2018";10,678304385
"29/1/2018";10,674368191
"30/1/2018";10,674829958
"31/1/2018";10,675099703
"1/2/2018";10,680475697
"2/2/2018";10,674206272
"3/2/2018";10,674520949
"4/2/2018";10,674835554
"5/2/2018";10,679715804
"6/2/2018";10,681408896
"7/2/2018";10,682583527
"8/2/2018";10,678713799
"9/2/2018";10,676251155
"10/2/2018";10,67656486
"11/2/2018";10,676878551
"12/2/2018";10,678701194
"13/2/2018";10,673841694
"14/2/2018";10,672875636
"15/2/2018";10,670901334
"16/2/2018";10,67681856
"17/2/2018";10,677131613
"18/2/2018";10,677444669
"19/2/2018";10,674226093
"20/2/2018";10,672608785
"21/2/2018";10,67301359
"22/2/2018";10,670681727
"23/2/2018";10,670460611
"24/2/2018";10,670774157
"25/2/2018";10,671087743
"26/2/2018";10,67412693
"27/2/2018";10,673103372
"28/2/2018";10,677342218
"1/3/2018";10,676696683
"2/3/2018";10,674005969
"3/3/2018";10,674316706
"4/3/2018";10,674627401
"5/3/2018";10,673183662
"6/3/2018";10,673506162
"7/3/2018";10,676037594
"8/3/2018";10,679401867
"9/3/2018";10,677965414
"10/3/2018";10,678277494
"11/3/2018";10,678589384
"12/3/2018";10,680990315
"13/3/2018";10,680724566
"14/3/2018";10,678662408
"15/3/2018";10,676436567
"16/3/2018";10,677943615
"17/3/2018";10,67825775
"18/3/2018";10,678693516
"19/3/2018";10,677898301
"20/3/2018";10,680813947
"21/3/2018";10,679405703
"22/3/2018";10,683484177
"23/3/2018";10,68284556
"24/3/2018";10,683138132
"25/3/2018";10,68343193
"26/3/2018";10,681246486
"27/3/2018";10,685028357
"28/3/2018";10,686062034
"29/3/2018";10,690032177
"30/3/2018";10,690305028
"31/3/2018";10,690578136
"1/4/2018";10,690853236
"2/4/2018";10,691124661
"3/4/2018";10,688708662
"4/4/2018";10,691601291
"5/4/2018";10,686481048
"6/4/2018";10,686727891
"7/4/2018";10,686989307
"8/4/2018";10,687250354
"9/4/2018";10,687115089
"10/4/2018";10,684476288
"11/4/2018";10,684395098
"12/4/2018";10,684162584
"13/4/2018";10,685332228
"14/4/2018";10,685550591
"15/4/2018";10,68577288
"16/4/2018";10,685059106
"17/4/2018";10,688036619
"18/4/2018";10,687500294
"19/4/2018";10,682429659
"20/4/2018";10,683359425
"21/4/2018";10,683553681
"22/4/2018";10,683749612
"23/4/2018";10,682943724
"24/4/2018";10,683000097
"25/4/2018";10,682786165
"26/4/2018";10,685388443
"27/4/2018";10,686198795
"28/4/2018";10,686454332
"29/4/2018";10,686711322
"30/4/2018";10,683766053
"1/5/2018";10,684026943
"2/5/2018";10,683607166
"3/5/2018";10,686780051
"4/5/2018";10,683733553
"5/5/2018";10,68396135
"6/5/2018";10,684191197
"7/5/2018";10,685285827
"8/5/2018";10,680620069
"9/5/2018";10,679459381
"10/5/2018";10,672322596
"11/5/2018";10,676475684
"12/5/2018";10,676728904
"13/5/2018";10,676983693
"14/5/2018";10,670696096
"15/5/2018";10,666900253
"16/5/2018";10,651468982
"17/5/2018";10,653458036
"18/5/2018";10,645115496
"19/5/2018";10,645346454
"20/5/2018";10,645578431
"21/5/2018";10,628412563
"22/5/2018";10,633974164
"23/5/2018";10,625353737
"24/5/2018";10,625662048
"25/5/2018";10,603792239
"26/5/2018";10,604012232
"27/5/2018";10,60423164
"28/5/2018";10,567915524
"29/5/2018";10,432331143
"30/5/2018";10,482427275
"31/5/2018";10,532753998
"1/6/2018";10,544789233
"2/6/2018";10,545036416
"3/6/2018";10,545286218
"4/6/2018";10,572952478
"5/6/2018";10,551400096
"6/6/2018";10,516083555
"7/6/2018";10,497056878
"8/6/2018";10,489307271
"9/6/2018";10,489551723
"10/6/2018";10,48979585
"11/6/2018";10,534878393
"12/6/2018";10,542157086
"13/6/2018";10,552100974
"14/6/2018";10,561962507
"15/6/2018";10,574083295
"16/6/2018";10,574303244
"17/6/2018";10,574524791
"18/6/2018";10,582758964
"19/6/2018";10,5805754
"20/6/2018";10,581009798
"21/6/2018";10,561779538
"22/6/2018";10,559539076
"23/6/2018";10,559757234
"24/6/2018";10,559978222
"25/6/2018";10,551000355
"26/6/2018";10,546173276
"27/6/2018";10,554555474
"28/6/2018";10,555548259
"29/6/2018";10,564868335
"30/6/2018";10,565095749
"1/7/2018";10,565326516
"2/7/2018";10,566261729
"3/7/2018";10,567299337
"4/7/2018";10,564437527
"5/7/2018";10,552953598
"6/7/2018";10,556021737
"7/7/2018";10,55626609
"8/7/2018";10,55651047
"9/7/2018";10,559381573
"10/7/2018";10,558115623
"11/7/2018";10,556322801
"12/7/2018";10,559892284
"13/7/2018";10,561463484
"14/7/2018";10,561626073
"15/7/2018";10,561788704
"16/7/2018";10,561174349
"17/7/2018";10,564845521
"18/7/2018";10,56405719
"19/7/2018";10,564190365
"20/7/2018";10,559987457
"21/7/2018";10,560214486
"22/7/2018";10,560375663
"23/7/2018";10,55676998
"24/7/2018";10,556321942
"25/7/2018";10,557594331
"26/7/2018";10,557481488
"27/7/2018";10,555547106
"28/7/2018";10,555747744
"29/7/2018";10,555948343
"30/7/2018";10,552496605
"31/7/2018";10,554387578
"1/8/2018";10,550734683
"2/8/2018";10,54682705
"3/8/2018";10,548633644
"4/8/2018";10,548832397
"5/8/2018";10,549031131
"6/8/2018";10,550878314
"7/8/2018";10,550461836
"8/8/2018";10,549814279
"9/8/2018";10,549303489
"10/8/2018";10,547955764
"11/8/2018";10,54812259
"12/8/2018";10,548317602
"13/8/2018";10,542871935
"14/8/2018";10,545016527
"15/8/2018";10,543614715
"16/8/2018";10,543890388
"17/8/2018";10,544914142
"18/8/2018";10,54511251
"19/8/2018";10,545310352
"20/8/2018";10,548564697
"21/8/2018";10,550472179
"22/8/2018";10,547993215
"23/8/2018";10,546779564
"24/8/2018";10,543790211
"25/8/2018";10,543982791
"26/8/2018";10,544174844
"27/8/2018";10,542616445
"28/8/2018";10,540008368
"29/8/2018";10,539482188
"30/8/2018";10,53670759
"31/8/2018";10,535408497
"1/9/2018";10,535597219
"2/9/2018";10,535786024
"3/9/2018";10,536436539
"4/9/2018";10,539807788
"5/9/2018";10,540016729
"6/9/2018";10,542415291
"7/9/2018";10,540612286
"8/9/2018";10,540797119
"9/9/2018";10,540981467
"10/9/2018";10,544075009
"11/9/2018";10,541773615
"12/9/2018";10,542723137
